Id,SalePrice
1461,127652.25
1462,154077.825
1463,180281.72
1464,181819.77
1465,199759.31
1466,183502.925
1467,164649.24
1468,175251.875
1469,181909.955
1470,120845.97
1471,195383.14
1472,96555.0
1473,98486.605
1474,154815.7
1475,142800.94
1476,385932.41
1477,254309.465
1478,306846.585
1479,246649.85
1480,446395.545
1481,312600.52
1482,209501.14
1483,176536.455
1484,178093.35
1485,173720.025
1486,197817.09
1487,328712.7
1488,239729.215
1489,213408.955
1490,197582.05
1491,190904.975
1492,92828.975
1493,174670.425
1494,300386.075
1495,301766.505
1496,229247.88
1497,192024.185
1498,153247.325
1499,152541.21
1500,151447.025
1501,174143.5
1502,166657.71
1503,301136.73
1504,227953.255
1505,216483.39
1506,184002.915
1507,220848.89
1508,200432.04
1509,165485.04
1510,152173.5
1511,150038.915
1512,170334.32
1513,148250.42
1514,160023.835
1515,172544.24
1516,161100.745
1517,151899.775
1518,131703.86
1519,226109.17
1520,138435.75
1521,143739.25
1522,160531.2
1523,114483.18
1524,121984.115
1525,127116.65
1526,127350.0
1527,98201.52
1528,128209.43
1529,145103.37
1530,165852.91
1531,130083.475
1532,108466.75
1533,148867.695
1534,116627.88
1535,156273.75
1536,114440.775
1537,77246.665
1538,187206.705
1539,246600.7
1540,123160.595
1541,152803.02
1542,140711.72
1543,222419.675
1544,77095.94
1545,101917.25
1546,122894.67
1547,141539.13
1548,137393.355
1549,114884.415
1550,141893.92
1551,116308.08
1552,150074.945
1553,143796.7
1554,112413.27
1555,169746.535
1556,104126.83
1557,131106.985
1558,91771.735
1559,128804.235
1560,158615.5
1561,155368.05
1562,126914.795
1563,125379.33
1564,161605.44
1565,156536.21
1566,213911.82
1567,78099.345
1568,224683.04
1569,153681.94
1570,122304.545
1571,128979.09
1572,145998.675
1573,242247.375
1574,120691.275
1575,204231.15
1576,216741.905
1577,207514.35
1578,153221.695
1579,144387.65
1580,191730.3
1581,141825.775
1582,129115.5
1583,334132.835
1584,243483.48
1585,141209.55
1586,70145.85
1587,104393.355
1588,151355.635
1589,100350.265
1590,132342.845
1591,105824.565
1592,124188.43
1593,118760.605
1594,141210.565
1595,133225.02
1596,234604.465
1597,166053.765
1598,186002.18
1599,214501.295
1600,193998.25
1601,80874.995
1602,116240.08
1603,89199.26
1604,283434.5
1605,248856.88
1606,168574.01
1607,169213.445
1608,215675.56
1609,200455.13
1610,160294.855
1611,149979.125
1612,159646.525
1613,164743.385
1614,124958.1
1615,84992.0
1616,80907.0
1617,86236.0
1618,125635.25
1619,132871.98
1620,159153.39
1621,137445.52
1622,154389.76
1623,291879.83
1624,217590.22
1625,130046.825
1626,173674.12
1627,189465.445
1628,289369.19
1629,177179.175
1630,356624.7
1631,228360.565
1632,249233.44
1633,171575.635
1634,181344.39
1635,178732.48
1636,161048.535
1637,170416.4
1638,215794.4
1639,179493.41
1640,254215.915
1641,184185.0
1642,221198.295
1643,223527.15
1644,226964.575
1645,175457.24
1646,155136.31
1647,162627.125
1648,141851.865
1649,140103.685
1650,122037.545
1651,123055.275
1652,93512.5
1653,95955.75
1654,158022.425
1655,157908.48
1656,150148.075
1657,154858.25
1658,156072.27
1659,143969.38
1660,143512.415
1661,426015.71
1662,394974.085
1663,373388.915
1664,458516.995
1665,309902.0
1666,332119.28
1667,355484.31
1668,327198.685
1669,304326.57
1670,338606.58
